,0,1
20,"[-3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423, -3.05938814083396, 0.8695106733993709, 16.53062916766434, -10.259125558453423]",[124.01]
21,"[-1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745, -1.3218728478910946, -2.447810779966189, 11.86696697963755, 10.337523572189745]",[100.73]
22,"[-0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183, -0.9519769085831227, -2.877250736410768, -12.106100648218652, -4.841577353017183]",[89.8]
23,"[2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663, 2.2855677939585703, -0.24264040257699104, 2.7408236698515767, -5.759062684494663]",[50.81]
24,"[3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016, 3.1017237135746027, 2.239996980778148, -14.586465765049997, -9.413910336092016]",[122.12]
25,"[1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953, 1.5285780272508864, 0.2091549138374691, -0.6677477743484852, -8.789742502340953]",[58.23]
26,"[-2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222, -2.593090835248652, -1.7183828917187225, -17.69194660255427, -9.956088136895222]",[137.42]
27,"[2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317, 2.2360728657380085, 0.5568582751967206, 17.755814400480894, -3.0539996372259317]",[114.23]
28,"[1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592, 1.6795916350722377, -2.6318371528467566, 4.736277443882955, -2.2267306791655592]",[46.65]
29,"[0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415, 0.1378404586244657, 0.21050261662067093, 10.284796387227427, 7.3016089621920415]",[31.54]
30,"[-1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873, -1.770086435874533, -0.8085834896413324, -9.982715405942773, 1.3932268590118873]",[62.25]
31,"[1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028, 1.5621389767755165, 2.548186834521796, -9.357039460798337, -0.09859313827082028]",[62.92]
32,"[-3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865, -3.0356435858071227, -1.2224320339784338, 11.011044192202604, 5.159234389701865]",[97.53]
33,"[2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013, 2.645921510715741, 0.7580988182740804, -1.5085856834658107, 0.11609898412240013]",[40.14]
34,"[-1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148, -1.3762732540679368, 0.8209534468724424, 16.56839125083448, -8.9530781062148]",[97.71]
