,Hamiltonian,Theta1,Theta2,Velocity1,Velocity2
0,60.86,1.3770545393730167,-2.547051052868942,-2.837219962125735,7.132200233543675
1,60.86,1.3918866486615944,-2.465210949266026,-2.9121529237228443,7.069552623342323
2,60.86,1.4088314819438392,-2.38172610517082,-2.9748155224992434,7.000555095422436
3,60.86,1.4278945727070578,-2.296532803365656,-3.027435333013553,6.92711640826465
4,60.86,1.4490472778415775,-2.2096011231765003,-3.073032117446364,6.851892940274525
5,60.86,1.4722172719178983,-2.1209410193962173,-3.115438719051808,6.778307424781774
6,60.86,1.4972793314212016,-2.0306079811647613,-3.1592490611435466,6.710495549772537
7,60.86,1.5240472932120772,-1.9387075565665965,-3.2096807560137166,6.65316816286867
8,60.86,1.5522682112303139,-1.845397915343959,-3.272350297312377,6.6113872709950074
9,60.86,1.5816197536059087,-1.7508895965389277,-3.3529712323661074,6.590266399517595
10,-----,-----,-----,-----,-----
11,22.25,-0.4587961606496789,1.0420014546028682,3.9208228574778436,-4.655398992199645
12,22.25,-0.43751195770806606,0.99395881428046,3.905933026523003,-4.638319325128487
13,22.25,-0.4145400320234211,0.9443853894159835,3.877166225724486,-4.608651711833544
14,22.25,-0.3897605552026419,0.893088012540343,3.8339391967567185,-4.5658758300373545
15,22.25,-0.36302977042010864,0.8398381102653809,3.7756823597832905,-4.509490524511615
16,22.25,-0.3341749101565562,0.7843645939164418,3.70187277559447,-4.439047607307732
17,22.25,-0.30298853449534524,0.7263457785185344,3.612100787378423,-4.3542194559242775
18,22.25,-0.269222920421786,0.6654011435830717,3.5061963469617456,-4.254926394253471
19,22.25,-0.23258623467977663,0.6010852603207906,3.3844602500573804,-4.141569007616215
20,22.25,-0.19274466604721602,0.532889585526456,3.2480760531132753,-4.015440976191907
21,-----,-----,-----,-----,-----
22,81.94,0.6736017125899063,1.7298639207446351,-13.40006592315735,-9.430059217086464
23,81.94,0.6237711648738936,1.6600864032548084,-13.30599309771226,-9.743384121105432
24,81.94,0.5758384798113636,1.5870692114177865,-13.21497485605701,-10.046712037890053
25,81.94,0.5299657593805538,1.51095216116164,-13.133283669128527,-10.333328640047718
26,81.94,0.4862789741958867,1.4319175988790505,-13.067591329316269,-10.596125213469572
27,81.94,0.4448525815148336,1.350200113874443,-13.024749907204159,-10.827814113963981
28,81.94,0.4056907539347565,1.2661009642060665,-13.011481423098372,-11.021235085445445
29,81.94,0.36870512515657616,1.180007923420078,-13.033955147469168,-11.169773741551577
30,81.94,0.33368982708565326,1.092420118236584,-13.097238983825225,-11.267906077529977
31,81.94,0.30029638646559415,1.0039750164592074,-13.204637508624012,-11.311856888102444
32,-----,-----,-----,-----,-----
33,81.26,2.481453364231373,0.4955927963711706,12.947372001830054,-4.977774379986533
34,81.26,2.5409948228096084,0.46982506938706736,12.939047551458021,-5.136416814068639
35,81.26,2.6001801373029747,0.4468552463249739,12.904600756751224,-5.25726250407038
36,81.26,2.6591685054100305,0.4267343188409626,12.84308933030554,-5.3392542802970375
37,81.26,2.7181059223111457,0.4095535099667875,12.754375850647802,-5.3821670877807115
38,81.26,2.7771286045397767,0.39543221597277367,12.639465400329474,-5.386946792559963
39,81.26,2.836364773930347,0.3845034898564598,12.500763370258971,-5.355968792764245
40,81.26,2.8959347342437862,0.3768970808398728,12.342185991104296,-5.293148784148855
41,81.26,2.9559493274747575,0.3727209238212033,12.169073449620514,-5.203855453457755
42,81.26,3.016507145148924,0.37204283911011893,11.987896398144827,-5.094615972687382
43,-----,-----,-----,-----,-----
44,90.89,3.039051026486452,-0.4992683551916328,9.473514783744923,1.3154541823414743
45,90.89,3.132035822220606,-0.40035107887825455,9.77782388170624,1.0380303006870102
46,90.89,3.2258055593240202,-0.3032706388933661,10.09750423560848,0.7547085841502963
47,90.89,3.320279386909626,-0.208253745083214,10.434295826271645,0.46371693942185244
48,90.89,3.415375205558971,-0.11555138834771043,10.789832577307171,0.16333460137811423
49,90.89,3.5110065444609124,-0.02544355364942147,11.165588287133808,-0.14806314457616926
50,90.89,3.607079262978464,0.06175587333910337,11.562803895078021,-0.4719412862569573
51,90.89,3.7034882703103267,0.14569435430997335,11.982387817628814,-0.809513731064875
52,90.89,3.800114559588259,0.22597664783999322,12.424779518198484,-1.1616138811902283
53,90.89,3.8968229807131456,0.3021622550369556,12.88976585377131,-1.5285160389598393
54,-----,-----,-----,-----,-----
55,33.41,1.6998158550406561,-0.7940629865501161,-5.691551426903935,2.836083577250202
56,33.41,1.6746710623605916,-0.7857542500841496,-5.906803552895786,2.9267320336972835
57,33.41,1.6486549651655593,-0.7766972271648032,-6.1207933354077415,3.014971231498654
58,33.41,1.6217751999357592,-0.7668223678369824,-6.332631347293576,3.0999646197856228
59,33.41,1.594038034989996,-0.7560609782713104,-6.541345324591852,3.1808002199100165
60,33.41,1.5654480030058808,-0.7443455793476328,-6.7458941370238685,3.25650460179943
61,33.41,1.5360075069994465,-0.7316100933753004,-6.945184937832508,3.326060037413997
62,33.41,1.5057163911937252,-0.7177898226156448,-7.138092595377893,3.3884239364480537
63,33.41,1.4745714641686063,-0.7028211892676525,-7.323480203192438,3.4425493633267257
64,33.41,1.4425659576184755,-0.6866412134344296,-7.5002192562960985,3.4874052257131027
65,-----,-----,-----,-----,-----
66,48.08,-0.6408324036949482,0.017632564655649663,11.6761390321618,0.8903711195046036
67,48.08,-0.5610033201985487,-0.03660313707264635,11.507444488010185,1.1746367000394116
68,48.08,-0.4771247115780951,-0.09746414217409055,11.323809032547961,1.4662475844122733
69,48.08,-0.3895352477368272,-0.16415392682976454,11.156391360027516,1.7333116775949153
70,48.08,-0.2993691913499287,-0.23470647319940136,11.051491828566046,1.9287511061867906
71,48.08,-0.2084809736018848,-0.3061172321264401,11.053812927950682,2.0071067152930118
72,48.08,-0.11877079895385996,-0.37532908287269,11.175967826818272,1.9551234003897782
73,48.08,-0.031539310630595785,-0.4401541677983343,11.388497062651592,1.8018036197958756
74,48.08,0.052537185263939745,-0.4992907839365228,11.643454237268584,1.59483177644202
75,48.08,0.13321717021005908,-0.5520469307167596,11.899726186784344,1.375227348877641
76,-----,-----,-----,-----,-----
77,88.15,2.901675203916798,2.1840150118257737,-8.157279370250333,1.9176188263086127
78,88.15,2.834644709721204,2.25368838850215,-7.925226180538461,1.5587179438685956
79,88.15,2.7637242836714755,2.3285606598589617,-7.721065520804566,1.2191741583605724
80,88.15,2.6887771368760185,2.4087145549035025,-7.563734259317601,0.9181995290121503
81,88.15,2.610310819735014,2.493305673792867,-7.48140171432334,0.6843996406146743
82,88.15,2.529796832689586,2.580113159249526,-7.504951688013487,0.5493121423066644
83,88.15,2.4494643552615627,2.6658370893724372,-7.650214414985616,0.5296573819811546
84,88.15,2.371387774322626,2.7473897016141486,-7.9045412800596555,0.6138430801665508
85,88.15,2.2967031758181564,2.822995278049236,-8.23652727777739,0.7715409869950889
86,88.15,2.22560676720333,2.892186017768597,-8.615153983966637,0.9727018176251034
87,-----,-----,-----,-----,-----
88,89.47,-0.34062214837832405,0.49309051304405926,15.906277245649013,11.431500626152415
89,89.47,-0.2875114555812238,0.5717081536284185,16.027245071749228,11.329642348885535
90,89.47,-0.23267592926560773,0.6491954055972767,16.167831213685098,11.191613091471336
91,89.47,-0.17594697220154015,0.7250485006218677,16.323602614396258,11.021775980114608
92,89.47,-0.1172257446990714,0.798810367813773,16.488964907507636,10.825699498311536
93,89.47,-0.05647990641951386,0.8700750265025855,16.657457497578793,10.60986268401701
94,89.47,0.006262276852263597,0.9384911960166058,16.822071368674404,10.381338865450333
95,89.47,0.07091922308462545,1.003766086488381,16.975567430420664,10.147480090197257
96,89.47,0.137363656725268,1.0656699407966517,17.110780143885236,9.915617351935989
97,89.47,0.20542968326444627,1.1240415746573156,17.220897041596253,9.692785762666324
98,-----,-----,-----,-----,-----
99,80.95,-0.439711147700391,0.2931661151258744,-14.842532481055215,-11.35960878756876
100,80.95,-0.4839193674391255,0.21242789980009413,-14.817593306076109,-11.329379316615265
101,80.95,-0.5273211036014864,0.13243149478550442,-14.821752431707907,-11.25462053322289
102,80.95,-0.5704198948784928,0.053939536194465065,-14.852975737253105,-11.13761902089989
103,80.95,-0.6137713919182184,-0.02226394802386815,-14.907519983141512,-10.982418520717575
104,80.95,-0.6579460839621074,-0.0954186748812006,-14.98036789634735,-10.794384403569163
105,80.95,-0.7034858330287059,-0.16483999517691095,-15.06584117135493,-10.579589831227327
106,80.95,-0.7508619470288249,-0.22996804212545235,-15.158248489843514,-10.344167010099035
107,80.95,-0.80044255540285,-0.29040474842824,-15.252397553010978,-10.093795190536587
108,80.95,-0.8524737541117791,-0.3459337177806845,-15.343845745893079,-9.833451292956543
109,-----,-----,-----,-----,-----
