,Hamiltonian,Theta1,Theta2,Velocity1,Velocity2
0,49.48,-0.5561139798710801,0.6439173533736477,6.181488232832775,-6.967801783546081
1,49.48,-0.5095252401414795,0.5573589050028036,5.924288937392091,-6.665923181904234
2,49.48,-0.4577780104020504,0.46571325818216125,5.630522899351264,-6.328347741121399
3,49.48,-0.4000471109800223,0.3676158078145172,5.304073648160412,-5.9592395309205815
4,49.48,-0.3353357648338729,0.2614612931508424,4.95516108328452,-5.569170885751789
5,49.48,-0.2626700344863728,0.1456648596922952,4.608122103962316,-5.18292329389257
6,49.48,-0.18177572739448677,0.019592184432919046,4.313706700646216,-4.851801855394141
7,49.48,-0.09458881954160046,-0.11435103449548387,4.152755584912083,-4.657304294353384
8,49.48,-0.0065317006937985755,-0.24896400170653643,4.1908927067759,-4.665717346381393
9,49.48,0.07591832636941952,-0.37566011096574276,4.403401667818919,-4.8527729534221065
10,-----,-----,-----,-----,-----
11,66.48,3.0051722465411137,2.0936968423846,-7.131213883559443,-2.2098310988929373
12,66.48,2.9696127376314743,2.0933815840687258,-7.141076341009786,-2.311642702992502
13,66.48,2.934013263048682,2.0930506508942393,-7.1550138279551785,-2.4162883489418094
14,66.48,2.8983710798661892,2.0926520402861626,-7.172832900537854,-2.5239274600554156
15,66.48,2.8626891453200787,2.092125814862795,-7.194337032597417,-2.634716756708164
16,66.48,2.8269768109478277,2.0914029043696836,-7.21933279212817,-2.7488033712226048
17,66.48,2.7912504535023324,2.0904040275085713,-7.247636864149832,-2.866317102142465
18,66.48,2.755533972220473,2.089038842793935,-7.279083641573048,-2.987362116952015
19,66.48,2.719859068094216,2.0872054580543113,-7.313532892431084,-3.1120086324437213
20,66.48,2.6842652137732035,2.0847904379278193,-7.350876776287082,-3.2402853429464913
21,-----,-----,-----,-----,-----
22,72.3,1.9825533016465933,-2.066613003563848,-10.083535903875765,0.2768268680532162
23,72.3,1.921397662273865,-2.1014957884290015,-10.092059185167729,0.1918355735862718
24,72.3,1.8589020479736527,-2.139333894646333,-10.091494725610719,0.09161334150482933
25,72.3,1.7950480525185846,-2.1802407008724995,-10.081013709943539,-0.0243132460420636
26,72.3,1.7298290459233325,-2.224320376986269,-10.059784487006818,-0.15639109043142874
27,72.3,1.6632517120760169,-2.2716658150887605,-10.0269647024456,-0.3050488953082152
28,72.3,1.5953375855885366,-2.322356677968351,-9.981691880640273,-0.4707077151373068
29,72.3,1.5261245663423084,-2.37645761152908,-9.923073501387409,-0.653792762389124
30,72.3,1.4556683947251567,-2.4340166542363564,-9.85017789200514,-0.8547452037385963
31,72.3,1.3840440753306158,-2.49506386101187,-9.762027458120738,-1.0740324415419116
32,-----,-----,-----,-----,-----
33,98.94,0.816224937845281,2.28159132351965,16.17164216860484,-3.8628770615238235
34,98.94,0.899577229034199,2.2341909968482425,15.63753799421855,-3.546061819647938
35,98.94,0.9842312004097126,2.1789219522551724,15.036816271321193,-3.1762708749419555
36,98.94,1.0711088547891372,2.115248989748395,14.376130337722813,-2.759502150047343
37,98.94,1.1613209115175644,2.0423092875809497,13.663458704531521,-2.302957414978645
38,98.94,1.256173265645711,1.9589167135889045,12.911966845694227,-1.8188411940472395
39,98.94,1.35703846585257,1.8637608983017617,12.149044086476117,-1.3332911051361802
40,98.94,1.464804327618147,1.756203999733343,11.434151760024067,-0.9040535430695955
41,98.94,1.578427129236613,1.638330693486024,10.877528494196454,-0.638947905060299
42,98.94,1.693169180184176,1.5174049742430025,10.602382563311332,-0.657872635249735
43,-----,-----,-----,-----,-----
44,64.19,-1.2927222484308423,2.2951358509371067,-4.556234940627673,7.865382874025671
45,64.19,-1.2713204127133655,2.3930955313593882,-4.547492884902856,7.9718332272891415
46,64.19,-1.2524350214916,2.489176409942067,-4.537688677848111,8.082735588414549
47,64.19,-1.236260220959734,2.5833532332692073,-4.518466213427728,8.190296688366846
48,64.19,-1.222910114015611,2.6756534730606605,-4.482948314140341,8.2881390416847
49,64.19,-1.212432580571864,2.7661511865474817,-4.425875161545654,8.37144000339397
50,64.19,-1.2048239436380983,2.8549610933812484,-4.343586612234445,8.436915626732075
51,64.19,-1.2000435756138343,2.942233163069964,-4.233875511733372,8.482676313334865
52,64.19,-1.1980277097802472,3.0281479424982707,-4.095752496773963,8.507994588985419
53,64.19,-1.1987019435470017,3.1129128314782077,-3.9291665817573245,8.513029097371986
54,-----,-----,-----,-----,-----
